Rep,year,id,nCSDage0,totalCSDage0
NA,NA,NA,NA,NA
1,1,579021,20,113
1,1,579022,24,113
1,1,579023,22,113
1,1,579024,27,113
1,1,579025,23,113
1,1,579026,25,113
1,1,579027,32,113
1,1,579028,30,113
1,1,579029,26,113
1,1,579030,20,113
1,1,579031,31,113
1,1,579032,31,113
1,1,579033,36,113
1,1,579034,28,113
1,1,579035,22,113
1,1,579036,25,113
1,1,579037,23,113
1,1,579038,18,113
1,1,579039,28,113
1,1,579040,29,113
1,1,579416,28,113
1,1,580526,29,113
1,1,581095,29,113
1,2,883873,37,104
1,2,883874,25,104
1,2,883875,32,104
1,2,883876,35,104
1,2,883877,39,104
1,2,883878,28,104
1,2,883880,25,104
1,2,883881,33,104
1,2,883882,31,104
1,2,883883,23,104
1,2,883884,20,104
1,2,883885,25,104
1,2,883886,27,104
1,2,883887,33,104
1,2,883888,23,104
1,2,883889,20,104
1,2,883890,24,104
1,2,883892,27,104
1,2,883893,20,104
1,2,883894,32,104
1,2,885661,23,104
1,2,885712,24,104
1,2,885857,20,104
1,2,887122,36,104
1,3,1242608,37,103
1,3,1242609,34,103
1,3,1242610,38,103
1,3,1242611,39,103
1,3,1242612,30,103
1,3,1242613,28,103
1,3,1242614,24,103
1,3,1242615,23,103
1,3,1242616,28,103
1,3,1242617,30,103
1,3,1242618,36,103
1,3,1242619,26,103
1,3,1242620,24,103
1,3,1242621,25,103
1,3,1242622,40,103
1,3,1242623,29,103
1,3,1242624,39,103
1,3,1242625,27,103
1,3,1242626,21,103
1,3,1242628,32,103
1,3,1243507,26,103
1,3,1243544,38,103
1,3,1244039,28,103
1,3,1244705,26,103
1,3,1244745,21,103
1,3,1245381,38,103
1,4,1583760,27,99
1,4,1583761,39,99
1,4,1583762,38,99
1,4,1583763,39,99
1,4,1583764,40,99
1,4,1583765,24,99
1,4,1583766,30,99
1,4,1583767,32,99
1,4,1583768,36,99
1,4,1583769,27,99
1,4,1583770,26,99
1,4,1583771,41,99
1,4,1583773,23,99
1,4,1583774,35,99
1,4,1583775,27,99
1,4,1583776,23,99
1,4,1583777,36,99
1,4,1583778,28,99
1,4,1583779,28,99
1,4,1583780,25,99
1,4,1583960,27,99
1,4,1586379,36,99
1,4,1587620,26,99
1,4,1587647,37,99
1,4,1587829,27,99
1,5,1927703,28,94
1,5,1927704,37,94
1,5,1927705,26,94
1,5,1927706,28,94
1,5,1927707,42,94
1,5,1927708,38,94
1,5,1927709,25,94
1,5,1927710,42,94
1,5,1927711,23,94
1,5,1927712,29,94
1,5,1927713,25,94
1,5,1927714,28,94
1,5,1927715,29,94
1,5,1927716,29,94
1,5,1927717,40,94
1,5,1927719,38,94
1,5,1927720,31,94
1,5,1927721,30,94
1,5,1927722,27,94
1,5,1927723,27,94
1,5,1928193,38,94
1,5,1929367,23,94
1,5,1929778,30,94
1,6,2275065,30,85
1,6,2275068,29,85
1,6,2275069,29,85
1,6,2275070,29,85
1,6,2275071,25,85
1,6,2275072,24,85
1,6,2275073,29,85
1,6,2275074,30,85
1,6,2275075,39,85
1,6,2275076,35,85
1,6,2275077,32,85
1,6,2275079,28,85
1,6,2275080,32,85
1,6,2275081,29,85
1,6,2275082,27,85
1,6,2275083,24,85
1,6,2275084,23,85
1,6,2275085,30,85
1,6,2275086,29,85
1,6,2275087,33,85
1,6,2276478,26,85
1,6,2276760,38,85
1,6,2277711,29,85
1,6,2278135,29,85
1,6,2278526,28,85
1,7,2632640,28,78
1,7,2632642,22,78
1,7,2632644,28,78
1,7,2632645,26,78
1,7,2632646,22,78
1,7,2632647,21,78
1,7,2632648,28,78
1,7,2632649,29,78
1,7,2632651,32,78
1,7,2632653,32,78
1,7,2632654,27,78
1,7,2632655,29,78
1,7,2632656,30,78
1,7,2632658,25,78
1,7,2632659,28,78
1,7,2632660,24,78
1,7,2632662,29,78
1,7,2632663,29,78
1,7,2632664,41,78
1,7,2632665,31,78
1,7,2632959,27,78
1,7,2633060,24,78
1,7,2634448,29,78
1,7,2635617,30,78
1,8,3029118,26,67
1,8,3029119,15,67
1,8,3029121,24,67
1,8,3029122,17,67
1,8,3029123,17,67
1,8,3029125,22,67
1,8,3029126,24,67
1,8,3029127,20,67
1,8,3029128,28,67
1,8,3029129,26,67
1,8,3029131,30,67
1,8,3029134,18,67
1,8,3029135,25,67
1,8,3029136,21,67
1,8,3029138,26,67
1,8,3029139,26,67
1,8,3029141,25,67
1,8,3029142,30,67
1,8,3029144,27,67
1,8,3029145,20,67
1,8,3030163,22,67
1,8,3031119,30,67
1,9,3351949,19,59
1,9,3351950,21,59
1,9,3351951,14,59
1,9,3351952,17,59
1,9,3351953,27,59
1,9,3351956,15,59
1,9,3351957,17,59
1,9,3351958,22,59
1,9,3351959,21,59
1,9,3351962,30,59
1,9,3351963,26,59
1,9,3351964,23,59
1,9,3351965,19,59
1,9,3351970,21,59
1,9,3351971,22,59
1,9,3351972,28,59
1,9,3351973,14,59
1,9,3351974,23,59
1,9,3351977,26,59
1,9,3351979,24,59
1,9,3352188,21,59
1,9,3352539,23,59
1,9,3352876,21,59
1,9,3353733,22,59
1,9,3355429,30,59
1,9,3355763,30,59
1,10,3721495,19,51
1,10,3721496,15,51
1,10,3721497,18,51
1,10,3721498,16,51
1,10,3721499,13,51
1,10,3721502,13,51
1,10,3721503,17,51
1,10,3721504,16,51
1,10,3721505,27,51
1,10,3721506,22,51
1,10,3721507,16,51
1,10,3721508,16,51
1,10,3721509,25,51
1,10,3721512,12,51
1,10,3721513,18,51
1,10,3721514,29,51
1,10,3721515,14,51
1,10,3721516,25,51
1,10,3721517,12,51
1,10,3721518,18,51
NA,NA,NA,NA,NA
2,1,579021,26,117
2,1,579022,21,117
2,1,579023,35,117
2,1,579024,19,117
2,1,579025,28,117
2,1,579026,29,117
2,1,579027,23,117
2,1,579028,27,117
2,1,579029,29,117
2,1,579030,25,117
2,1,579031,21,117
2,1,579032,34,117
2,1,579033,26,117
2,1,579034,27,117
2,1,579035,31,117
2,1,579036,27,117
2,1,579037,22,117
2,1,579038,22,117
2,1,579039,31,117
2,1,579040,25,117
2,1,579507,22,117
2,1,579959,31,117
2,1,580763,32,117
2,1,581207,26,117
2,1,581313,33,117
2,1,582427,22,117
2,2,872088,30,113
2,2,872089,38,113
2,2,872090,37,113
2,2,872091,38,113
2,2,872092,26,113
2,2,872093,27,113
2,2,872094,32,113
2,2,872095,34,113
2,2,872096,36,113
2,2,872097,26,113
2,2,872098,29,113
2,2,872099,28,113
2,2,872100,28,113
2,2,872101,27,113
2,2,872102,28,113
2,2,872103,18,113
2,2,872104,27,113
2,2,872105,21,113
2,2,872106,31,113
2,2,872108,25,113
2,2,872293,25,113
2,2,872365,36,113
2,2,872630,34,113
2,2,873540,33,113
2,2,874699,38,113
2,2,874746,34,113
2,2,875163,26,113
2,2,875306,24,113
2,3,1235593,38,103
2,3,1235594,36,103
2,3,1235595,40,103
2,3,1235596,38,103
2,3,1235597,41,103
2,3,1235598,30,103
2,3,1235599,29,103
2,3,1235600,34,103
2,3,1235601,36,103
2,3,1235602,38,103
2,3,1235603,27,103
2,3,1235604,32,103
2,3,1235605,31,103
2,3,1235606,31,103
2,3,1235607,26,103
2,3,1235608,33,103
2,3,1235609,24,103
2,3,1235610,41,103
2,3,1235611,26,103
2,3,1235612,33,103
2,3,1236705,24,103
2,4,1550641,27,99
2,4,1550642,38,99
2,4,1550643,36,99
2,4,1550644,42,99
2,4,1550645,30,99
2,4,1550646,34,99
2,4,1550647,36,99
2,4,1550648,39,99
2,4,1550649,42,99
2,4,1550650,33,99
2,4,1550652,35,99
2,4,1550653,38,99
2,4,1550654,38,99
2,4,1550655,27,99
2,4,1550656,27,99
2,4,1550658,32,99
2,4,1550659,30,99
2,4,1550660,26,99
2,4,1550661,35,99
2,4,1550662,27,99
2,4,1552804,27,99
2,4,1553954,35,99
2,4,1554252,40,99
2,5,1871487,29,87
2,5,1871489,39,87
2,5,1871490,38,87
2,5,1871491,31,87
2,5,1871493,35,87
2,5,1871494,36,87
2,5,1871495,40,87
2,5,1871496,28,87
2,5,1871498,36,87
2,5,1871499,28,87
2,5,1871500,28,87
2,5,1871501,37,87
2,5,1871502,27,87
2,5,1871503,38,87
2,5,1871504,42,87
2,5,1871505,30,87
2,5,1871506,37,87
2,5,1871507,38,87
2,5,1871508,43,87
2,5,1871509,33,87
2,5,1872098,36,87
2,5,1872977,37,87
2,5,1873240,35,87
2,5,1874966,33,87
2,6,2231501,36,87
2,6,2231504,29,87
2,6,2231507,30,87
2,6,2231508,34,87
2,6,2231511,31,87
2,6,2231512,32,87
2,6,2231514,36,87
2,6,2231517,20,87
2,6,2231520,35,87
2,6,2231521,28,87
2,6,2231522,38,87
2,6,2231523,36,87
2,6,2231524,34,87
2,6,2231525,43,87
2,6,2231527,30,87
2,6,2231528,31,87
2,6,2231529,28,87
2,6,2231530,37,87
2,6,2231533,38,87
2,6,2231534,28,87
2,6,2232410,31,87
2,6,2232846,39,87
2,6,2232939,31,87
2,6,2232997,34,87
2,6,2233351,38,87
2,7,2565541,35,84
2,7,2565542,27,84
2,7,2565543,31,84
2,7,2565544,25,84
2,7,2565545,25,84
2,7,2565547,27,84
2,7,2565548,24,84
2,7,2565549,31,84
2,7,2565550,31,84
2,7,2565551,37,84
2,7,2565552,34,84
2,7,2565553,30,84
2,7,2565554,29,84
2,7,2565555,31,84
2,7,2565556,23,84
2,7,2565557,35,84
2,7,2565558,28,84
2,7,2565559,43,84
2,7,2565560,31,84
2,7,2565561,23,84
2,8,2947628,25,73
2,8,2947629,21,73
2,8,2947631,20,73
2,8,2947632,20,73
2,8,2947633,22,73
2,8,2947635,24,73
2,8,2947636,27,73
2,8,2947638,28,73
2,8,2947639,28,73
2,8,2947640,26,73
2,8,2947641,23,73
2,8,2947642,19,73
2,8,2947643,27,73
2,8,2947644,39,73
2,8,2947645,20,73
2,8,2947646,24,73
2,8,2947647,30,73
2,8,2947648,28,73
2,8,2947649,28,73
2,8,2947839,29,73
2,8,2947891,24,73
2,8,2949418,21,73
2,9,3314408,23,65
2,9,3314409,20,65
2,9,3314410,18,65
2,9,3314411,15,65
2,9,3314412,16,65
2,9,3314413,24,65
2,9,3314414,22,65
2,9,3314415,21,65
2,9,3314416,31,65
2,9,3314417,14,65
2,9,3314418,21,65
2,9,3314419,22,65
2,9,3314420,26,65
